,product_name,user_rating,product_review
0,Broo Doo,4,bottled 992022 the first thing that comes to mind is ipa flavored this is solid all around from start to finish there is nothing special to me that marks this brew but if i saw this available on tap id be thrilled medium to thick bodied on the palate sticky hop bitterness with a mix of pine and citrus if you know you dont like ipas then this will not change your mind but if you know you like the style then this is one to throw into the mix of options i generally prefer a lighter flavor and mouthfeel but i do like this beer
1,Broo Doo,4.24,12oz bottle etched on bottle neck is bottled 090922 seasonal 2022 release notes on label broodoo harvest ale is a seasonal ale that glorifies american hops broodoo is brewed using fresh green wet hops picked right from the vine and put into our beer vats from vine to brew house in one day enjoy slightly cloudy pale gold colored body one finger of creamy white head partial sheet of lacing on nondrinking side of the glass aroma is resin hops citrus and pine taste follows the nose and presents as a good malt base flavored with grapefruit and pineapple with a good undercurrent of pine long lasting hop dominated aftertaste medium plus mouth feel crisp and sticky very good carbonation presents as a top notch fresh hops brew
2,Broo Doo,4.15,6 oz minisnifter draft pour at lures bar  grille this is an excellent wet hop ipa with aromas and flavors of citrus and pine atop a caramel malt base the 7 abv is wellhidden next time i will definitely need to get a full pourbottle of this beer
3,Foster's Lager,3,i had this beer a couple of times before and always thought of it as a bitter and overly frothy mess but now retrying it now as world class beer expert i must say that it isnt a bad beer at all however fosters premium ale is a lot better in my opinion so if i were to see the lager in the blue can and the ale in the green can id go with the green can every time  style australian lager  tapcanbottle can  abv 5  rating 3
4,Foster's Lager,3.82,yum
5,Foster's Lager,1.76,sampled at outback steakhouse poured into a large plastic mug with handle stawgolden with quickly fading head of foam lots of streaming bubbles very faint aroma of grains and perhaps some corn luckily it wasnt skunked the taste was nothing out of the ordinary you could tell you were drinking beer mouthfeel was nothing special either crisp watery and refreshing on a hot summer day overall not as bad as you might think typical mass produced lager advertised as an australian beer but on tap in every british pub i have drunk in and thats a lot over the years fosters was actually introduced in melbourne by two brothers from new york despite what paul hogan says in the adverts fosters isnt necessarily australian for beer lol while i prefer carlton or castlemaine xxxx i would reach for a fosters over some of the snooty craft beer lol
6,Foster's Lager,3.51,presentation 254 ounce can poured into a pint glass  look rich golden color small foamy head looks better than other comparable beers  smell grainy cereal like smell minor hops odor  taste grainy cereal taste to begin with and a bitter hops aftertaste the taste is distinct and enjoyable  feel mouth feel is decent smooth with a bit of a seltzer feel at the end  overall it is a respectable lager nothing remarkable about it but it has a distinct taste which sets it apart from other similarly priced beers id recommend this beer if youre on a budget but still want a flavorful lager
7,Foster's Lager,3.18,this was not a terrible lager it was reasonably dry without the corruption of sweeter cereal grains the body was well carbonated with the carbonation being very visible the grains that came in the initial lead to a clean dry finish on a hot day this would be exceptionally drinkable
8,Foster's Lager,3,pours out of the enormous can a crystal clear gold with an inch of head that dissipates quickly smells malty with a bit of sweetness taste follows the nose well with a good solid mouthfeel i was expecting a bad beer from my peers opinions about it but i actually kinda liked it
9,Foster's Lager,3.64,this beer is very delicious yeah its relatively cheap but its a very good tasting lager an a matter of fact its my favorite beer now it comes in a 25 oz can and its just a great lager not too hoppy and goes down good i recomend this to anyone who likes just a neutral tasting lager beer it gives you the buzz you want but the hangover isnt any worse than some of the others ive drank try it youll probably like itl
